City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arraial do Cabo,-22.9661,-42.0278,66.06,72,0.0,3.44,BR,1659307940.0
Faanui,-16.4833,-151.75,78.82,71,12.0,25.88,PF,1659308001.0
Rudnogorsk,57.2639,103.7519,59.95,96,21.0,2.44,RU,1659308199.0
Bambous Virieux,-20.3428,57.7575,70.21,73,75.0,11.5,MU,1659307988.0
Margate,51.3813,1.3862,67.3,89,97.0,4.0,GB,1659307912.0
East London,-33.0153,27.9116,54.77,63,5.0,8.5,ZA,1659307957.0
Laguna,38.421,-121.4238,91.02,45,0.0,9.22,US,1659308003.0
Gizo Government Station,-8.103,156.8419,83.28,72,3.0,5.86,SB,1659308200.0
Celestún,20.8667,-90.4,83.62,76,100.0,16.73,MX,1659308200.0
Severnyy,50.677,36.5532,60.84,67,0.0,6.71,RU,1659308201.0
Vardø,70.3705,31.1107,51.78,100,100.0,2.3,NO,1659307970.0
Sinnamary,5.3833,-52.95,78.87,84,46.0,6.44,GF,1659308201.0
Bay-Khaak,51.1667,94.5,60.89,71,81.0,1.79,RU,1659308202.0
Kloulklubed,7.0419,134.2556,80.74,78,100.0,6.98,PW,1659307959.0
Sitka,57.0531,-135.33,57.09,88,100.0,8.05,US,1659307970.0
Alofi,-19.0595,-169.9187,80.49,74,2.0,13.8,NU,1659307990.0
Saint Paul Harbor,57.79,-152.4072,57.07,86,50.0,5.59,US,1659308202.0
Black River,18.0264,-77.8487,87.03,63,7.0,14.07,JM,1659308203.0
Tempio Pausania,40.8974,9.1035,68.92,67,0.0,2.62,IT,1659308203.0
Mount Gambier,-37.8333,140.7667,49.32,92,55.0,12.66,AU,1659307932.0
Wuwei,37.9281,102.6414,70.29,67,37.0,5.91,CN,1659308204.0
Cape Town,-33.9258,18.4232,53.91,80,0.0,7.0,ZA,1659308004.0
New Norfolk,-42.7826,147.0587,49.91,82,99.0,8.01,AU,1659307927.0
Hilo,19.7297,-155.09,85.28,62,20.0,12.66,US,1659307701.0
Rāwah,34.4816,41.9093,91.45,18,0.0,6.11,IQ,1659308204.0
Izumo,35.3667,132.7667,85.95,78,75.0,5.75,JP,1659308205.0
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,75.97,75,1.0,2.8,CN,1659308199.0
Storforshei,66.4043,14.5233,56.66,93,100.0,3.44,NO,1659308205.0
Grayvoron,50.4767,35.6773,63.45,56,43.0,10.49,RU,1659308206.0
Ambon City,-3.6954,128.1814,75.34,100,40.0,5.75,ID,1659308206.0
Bethel,41.3712,-73.414,82.51,61,86.0,6.46,US,1659307926.0
Hermanus,-34.4187,19.2345,39.79,72,2.0,6.64,ZA,1659307915.0
Jamestown,42.097,-79.2353,78.03,49,20.0,8.05,US,1659307844.0
Saint-Philippe,-21.3585,55.7679,66.22,80,62.0,14.52,RE,1659307926.0
Port Lincoln,-34.7333,135.8667,53.98,77,3.0,12.48,AU,1659308207.0
Ust-Kuyga,70.0167,135.6,68.86,73,99.0,4.85,RU,1659308208.0
Zhalantun,48.0,122.7167,70.88,84,92.0,5.44,CN,1659308208.0
Vilhena,-12.7406,-60.1458,82.62,42,3.0,6.91,BR,1659307981.0
Vostok,46.4856,135.8833,71.46,79,100.0,3.33,RU,1659308208.0
Banjar,-8.19,114.9675,73.33,78,65.0,3.4,ID,1659308088.0
Jammalamadugu,14.8333,78.4,86.4,65,100.0,4.81,IN,1659308209.0
Leningradskiy,69.3833,178.4167,51.22,63,52.0,6.69,RU,1659307929.0
Castro,-24.7911,-50.0119,53.8,75,0.0,1.41,BR,1659307949.0
Honningsvåg,70.9821,25.9704,56.95,82,100.0,2.3,NO,1659308209.0
Kutum,14.2,24.6667,68.09,78,100.0,12.28,SD,1659308210.0
Port Alfred,-33.5906,26.891,53.08,73,18.0,11.52,ZA,1659307940.0
Saldanha,-33.0117,17.9442,44.65,79,0.0,13.96,ZA,1659307969.0
Mar del Plata,-38.0023,-57.5575,55.94,84,0.0,5.99,AR,1659307720.0
Khatanga,71.9667,102.5,44.76,73,100.0,7.99,RU,1659307942.0
Barrow,71.2906,-156.7887,41.92,77,52.0,8.99,US,1659307678.0
Belmonte,-15.8631,-38.8828,72.7,83,2.0,6.49,BR,1659307938.0
Katsuura,35.1333,140.3,84.56,76,82.0,5.14,JP,1659307792.0
Severo-Kuril'sk,50.6789,156.125,53.76,86,99.0,10.45,RU,1659307923.0
Ponta do Sol,32.6667,-17.1,72.01,79,3.0,2.37,PT,1659307962.0
Qasigiannguit,68.8193,-51.1922,38.1,93,58.0,4.65,GL,1659307976.0
Roald,62.5833,6.1333,56.16,81,20.0,1.14,NO,1659308040.0
Termez,37.2242,67.2783,77.09,29,0.0,9.22,UZ,1659308211.0
Karratha,-20.7377,116.8463,68.94,75,35.0,0.78,AU,1659307947.0
Broome,42.2506,-75.833,78.66,63,100.0,0.94,US,1659308011.0
Torbay,47.6666,-52.7314,72.37,68,20.0,21.85,CA,1659307913.0
Guangyuan,32.442,105.823,74.61,92,62.0,1.39,CN,1659308212.0
Umluj,25.0213,37.2685,85.5,57,39.0,8.25,SA,1659308213.0
Whitehorse,60.7161,-135.0538,66.02,62,75.0,5.75,CA,1659308039.0
Cherskiy,68.75,161.3,67.95,41,17.0,19.24,RU,1659307645.0
Sørland,67.667,12.6934,53.46,87,98.0,10.49,NO,1659308213.0
Tiksi,71.6872,128.8694,42.08,94,100.0,14.05,RU,1659307964.0
Kaya,13.0917,-1.0844,71.78,88,100.0,16.04,BF,1659308214.0
Tuensang,26.2833,94.8333,69.15,99,100.0,2.46,IN,1659308214.0
Sulangan,11.1373,123.7228,83.3,70,100.0,1.39,PH,1659308215.0
Evensk,61.95,159.2333,55.74,76,98.0,7.92,RU,1659307939.0
Vila Velha,-20.3297,-40.2925,71.55,83,75.0,6.91,BR,1659307998.0
Esperance,-33.8667,121.9,47.68,60,0.0,17.22,AU,1659307913.0
Rocha,-34.4833,-54.3333,50.2,79,97.0,5.77,UY,1659308215.0
Constitución,-35.3333,-72.4167,49.84,90,71.0,4.76,CL,1659308062.0
San Jose,37.3394,-121.895,88.45,58,63.0,6.08,US,1659308104.0
Chokurdakh,70.6333,147.9167,70.77,47,100.0,12.46,RU,1659307959.0
Grindavik,63.8424,-22.4338,49.95,81,75.0,11.5,IS,1659308011.0
Portland,45.5234,-122.6762,101.98,32,6.0,7.0,US,1659308128.0
Gonder,12.6,37.4667,56.41,94,70.0,3.8,ET,1659308216.0
Pāsighāt,28.0667,95.3333,76.03,98,100.0,1.99,IN,1659308217.0
Chui,-33.6971,-53.4616,49.35,79,94.0,5.88,UY,1659307897.0
Port Elizabeth,-33.918,25.5701,50.31,81,0.0,9.22,ZA,1659307782.0
Port Augusta,-32.5,137.7667,48.49,74,0.0,5.73,AU,1659307996.0
Korla,41.7597,86.1469,74.84,48,46.0,12.62,CN,1659308217.0
Kitami,43.8031,143.8908,63.93,89,100.0,1.74,JP,1659308022.0
Sola,-13.8833,167.55,81.27,83,75.0,4.61,VU,1659308086.0
Norman Wells,65.282,-126.8329,71.64,46,20.0,13.8,CA,1659307963.0
Tromsø,69.6496,18.957,59.02,67,0.0,12.66,NO,1659307969.0
Bauska,56.4075,24.1906,58.6,98,100.0,11.74,LV,1659308023.0
Batticaloa,7.7102,81.6924,79.36,83,100.0,5.88,LK,1659308219.0
Caravelas,-17.7125,-39.2481,69.98,91,80.0,7.96,BR,1659307984.0
Codrington,-38.2667,141.9667,46.08,91,33.0,16.2,AU,1659307960.0
Saint George,37.1041,-113.5841,89.44,44,0.0,11.5,US,1659307923.0
Bonavista,48.6499,-53.1147,63.27,81,66.0,2.53,CA,1659307924.0
Olafsvik,64.8945,-23.7142,48.11,65,100.0,10.13,IS,1659308219.0
Castletown,53.0281,-9.0686,52.29,80,98.0,2.39,IE,1659308220.0
Avarua,-21.2078,-159.775,78.85,65,25.0,17.27,CK,1659307917.0
Quime,-16.9833,-67.2167,51.93,80,1.0,2.48,BO,1659308220.0
Assiniboia,49.6334,-105.9845,84.02,28,9.0,8.05,CA,1659308221.0
Assiut,27.181,31.1837,86.18,27,27.0,8.5,EG,1659308221.0
Port Blair,11.6667,92.75,78.84,94,40.0,0.0,IN,1659307939.0
Ponta Delgada,37.7333,-25.6667,72.32,78,75.0,4.61,PT,1659308032.0
Winnemucca,40.973,-117.7357,102.25,6,0.0,8.05,US,1659307974.0
Shiraz,29.6036,52.5388,72.84,78,40.0,0.0,IR,1659308143.0
Plácido de Castro,-10.3353,-67.1856,82.53,42,8.0,3.15,BR,1659307996.0
Lamar,33.6668,-95.5836,99.64,43,71.0,12.15,US,1659308222.0
Tāybād,34.74,60.7756,78.12,28,0.0,10.94,IR,1659308223.0
Poum,-20.2333,164.0167,72.36,71,66.0,12.1,NC,1659308223.0
Lázaro Cárdenas,17.9583,-102.2,85.77,66,65.0,11.16,MX,1659307808.0
Lüderitz,-26.6481,15.1594,58.6,51,0.0,9.35,NA,1659308006.0
Saint Anthony,45.0205,-93.218,85.62,61,100.0,17.27,US,1659307938.0
Beloha,-25.1667,45.05,64.22,93,6.0,2.93,MG,1659308224.0
Kahului,20.8947,-156.47,85.96,69,19.0,14.0,US,1659308047.0
Thompson,55.7435,-97.8558,64.56,63,75.0,0.0,CA,1659307912.0
Inírida,3.8653,-67.9239,75.31,96,64.0,2.44,CO,1659308031.0
Nouadhibou,20.931,-17.0347,75.18,78,16.0,9.22,MR,1659308225.0
Plettenberg Bay,-34.0527,23.3716,49.1,73,1.0,4.72,ZA,1659308225.0
Tuktoyaktuk,69.4541,-133.0374,62.6,59,40.0,5.75,CA,1659307953.0
Burē,10.7,37.0667,56.55,98,100.0,1.81,ET,1659308226.0
Mt. Pleasant,32.7941,-79.8626,94.12,69,0.0,12.66,US,1659308058.0
Nyurba,63.2842,118.3319,69.53,72,61.0,4.52,RU,1659308061.0
Rome,43.2128,-75.4557,77.86,69,100.0,0.22,US,1659308226.0
Tawao,4.2498,117.8871,75.33,94,100.0,5.12,MY,1659308226.0
Atuona,-9.8,-139.0333,76.87,75,12.0,14.5,PF,1659307971.0
Makakilo City,21.3469,-158.0858,82.72,52,75.0,14.97,US,1659308131.0
Dunedin,-45.8742,170.5036,45.97,66,2.0,4.18,NZ,1659308004.0
Cam Ranh,11.9214,109.1591,78.76,83,20.0,1.14,VN,1659307972.0
Menongue,-14.6585,17.691,55.09,37,4.0,1.83,AO,1659307775.0
Gilbués,-9.8317,-45.3439,81.91,41,79.0,2.33,BR,1659308227.0
Tottori-shi,35.5,134.2333,86.07,62,75.0,6.91,JP,1659308228.0
Yar-Sale,66.8333,70.8333,46.69,80,14.0,7.07,RU,1659308045.0
Lake Jackson,29.0339,-95.4344,95.04,63,40.0,12.66,US,1659307685.0
Hithadhoo,-0.6,73.0833,80.47,74,100.0,16.08,MV,1659307941.0
Khovd,48.0056,91.6419,64.85,58,100.0,0.98,MN,1659308069.0
Emba,48.8264,58.1442,73.6,45,57.0,6.6,KZ,1659308229.0
Katangli,51.7102,143.2326,59.04,75,41.0,10.65,RU,1659307993.0
São Félix do Xingu,-6.6447,-51.995,77.43,64,47.0,2.01,BR,1659308229.0
Belaya Gora,68.5333,146.4167,75.25,36,87.0,10.87,RU,1659308230.0
Aripuanã,-9.1667,-60.6333,80.19,41,2.0,0.85,BR,1659308230.0
Vallenar,-28.5708,-70.7581,64.96,52,15.0,2.66,CL,1659308066.0
Fairbanks,64.8378,-147.7164,64.02,86,100.0,3.44,US,1659308137.0
Okato,-39.2,173.8833,51.69,70,40.0,10.74,NZ,1659308231.0
Xiongzhou,25.1167,114.3,79.92,74,13.0,2.01,CN,1659308231.0
Bonfim,3.0833,-59.95,78.28,80,46.0,4.88,BR,1659308231.0
Mataura,-46.1927,168.8643,46.47,86,24.0,5.75,NZ,1659307947.0
Airai,-8.9266,125.4092,60.4,87,61.0,2.77,TL,1659307987.0
Cidreira,-30.1811,-50.2056,59.23,87,89.0,9.8,BR,1659307945.0
Yenagoa,4.9247,6.2642,74.03,90,99.0,6.6,NG,1659308232.0
Souillac,-20.5167,57.5167,70.18,73,75.0,11.5,MU,1659308077.0
Lorengau,-2.0226,147.2712,84.79,70,100.0,11.97,PG,1659308023.0
Hong Kong,22.2855,114.1577,84.96,81,7.0,8.3,HK,1659308062.0
Bereda,43.2686,-7.5406,65.57,100,49.0,7.38,ES,1659308233.0
Batemans Bay,-35.7167,150.1833,55.09,64,67.0,10.85,AU,1659308233.0
Bowen,-20.0167,148.2333,68.05,76,69.0,13.82,AU,1659308233.0
Inverell,-29.7833,151.1167,58.66,84,95.0,10.0,AU,1659308234.0
Tabas,33.5959,56.9244,88.02,23,2.0,2.3,IR,1659308234.0
Fortuna,40.5982,-124.1573,67.93,81,0.0,12.66,US,1659308027.0
Guerrero Negro,27.9769,-114.0611,84.18,45,13.0,13.29,MX,1659308068.0
Fort Morgan,40.2503,-103.8,85.71,29,41.0,21.5,US,1659308235.0
Kruisfontein,-34.0033,24.7314,45.46,80,1.0,7.2,ZA,1659307987.0
Berlevåg,70.8578,29.0864,57.2,96,69.0,2.64,NO,1659307929.0
Mananjary,-21.2167,48.3333,64.76,93,7.0,4.59,MG,1659308236.0
Terrace Bay,48.7834,-87.1,54.77,87,93.0,6.49,CA,1659308236.0
Husavik,66.0449,-17.3389,42.26,91,100.0,14.54,IS,1659307935.0
Lodwar,3.1191,35.5973,81.32,52,64.0,8.97,KE,1659308237.0
Calabozo,8.9242,-67.4293,79.14,80,72.0,2.89,VE,1659308237.0
Garissa,-0.4536,39.6401,72.52,81,14.0,16.71,KE,1659308238.0
Radom,51.4025,21.1471,62.15,98,100.0,4.0,PL,1659308238.0
Te Anau,-45.4167,167.7167,42.73,95,83.0,6.6,NZ,1659308010.0
Ialibu,-6.2821,143.9935,62.78,80,97.0,1.99,PG,1659308238.0
Arrondissement de Rambouillet,48.5833,1.9167,70.63,80,22.0,5.59,FR,1659308239.0
Bengkulu,-3.8004,102.2655,74.91,88,91.0,4.54,ID,1659307973.0
Bilma,18.6853,12.9164,88.59,42,88.0,3.02,NE,1659308239.0
George Town,5.4112,100.3354,80.89,91,40.0,2.3,MY,1659307669.0
Aklavik,68.2191,-135.0107,66.02,46,90.0,1.66,CA,1659307956.0
Talnakh,69.4865,88.3972,45.21,70,20.0,16.02,RU,1659307982.0
Sovetskiy,61.3614,63.5842,53.58,66,100.0,5.57,RU,1659308033.0
Kropotkin,45.4375,40.5756,75.9,47,0.0,9.13,RU,1659308240.0
Fougamou,-1.2154,10.5838,71.35,83,37.0,2.51,GA,1659308241.0
Iqaluit,63.7506,-68.5145,51.53,76,75.0,11.5,CA,1659307945.0
Narsaq,60.9167,-46.05,49.23,80,84.0,4.09,GL,1659308000.0
Ureki,41.9956,41.7786,73.36,88,93.0,2.64,GE,1659308241.0
Barabai,-2.5833,115.3833,72.37,94,100.0,1.57,ID,1659308242.0
Leh,34.1667,77.5833,60.01,55,40.0,5.55,IN,1659308242.0
Camacha,33.0833,-16.3333,67.42,78,40.0,6.91,PT,1659308063.0
Souris,49.6172,-100.2612,70.74,71,95.0,10.83,CA,1659308242.0
Roza,54.9163,61.4586,57.15,96,61.0,6.69,RU,1659308243.0
São João Batista,-27.2761,-48.8494,62.11,97,2.0,0.96,BR,1659308243.0
Vila,42.0304,-8.1588,71.71,58,0.0,3.85,PT,1659308244.0
Naushki,50.3828,106.1056,65.52,72,3.0,0.07,RU,1659308244.0
Brae,60.3964,-1.353,51.31,83,34.0,9.08,GB,1659308244.0
Urdoma,61.7533,48.5442,57.63,99,98.0,3.91,RU,1659308245.0
Bukachacha,52.9833,116.9167,62.35,79,52.0,2.66,RU,1659308245.0
Dobrovice,50.3693,14.9623,72.82,55,87.0,1.97,CZ,1659308246.0
Ugoofaaru,5.6667,73.0,76.77,85,100.0,32.68,MV,1659307997.0
Old Town,50.087,14.4202,73.47,64,0.0,5.75,CZ,1659308246.0
Beyneu,45.3167,55.2,81.14,41,4.0,9.51,KZ,1659308246.0
Reporoa,-38.4333,176.35,48.45,57,14.0,4.92,NZ,1659308247.0
Saint-Louis,16.3333,-15.0,82.04,78,100.0,14.99,SN,1659308247.0
San Jose de Guanipa,8.8872,-64.1651,77.45,77,94.0,11.72,VE,1659308095.0
Hornepayne,49.2138,-84.7705,72.91,71,76.0,9.62,CA,1659307957.0
Cayenne,4.9333,-52.3333,83.08,1,20.0,4.61,GF,1659307722.0
Mayskiy,47.6931,40.1025,74.61,54,2.0,13.71,RU,1659308248.0
Maraã,-1.8333,-65.3667,76.59,78,37.0,2.68,BR,1659308248.0
Vestmannaeyjar,63.4427,-20.2734,49.87,74,71.0,18.45,IS,1659307976.0
Chapais,49.7834,-74.8492,78.58,63,98.0,6.02,CA,1659308249.0
Natal,-5.795,-35.2094,79.02,89,0.0,9.22,BR,1659308249.0
Baruun-Urt,46.6806,113.2792,69.08,51,34.0,4.21,MN,1659308250.0
Tasiilaq,65.6145,-37.6368,48.36,50,43.0,5.53,GL,1659307648.0
San Juan,-31.5375,-68.5364,60.49,30,3.0,6.78,AR,1659308250.0
San Patricio,28.017,-97.5169,95.54,50,50.0,17.31,US,1659307919.0
Sulmona,42.0479,13.9291,70.88,52,20.0,2.8,IT,1659308251.0
Willmar,45.1219,-95.0433,84.15,51,0.0,14.97,US,1659308049.0
Mata,40.683,-7.4592,72.93,48,14.0,2.17,PT,1659308251.0
Iztapa,13.9333,-90.7075,82.45,78,40.0,11.5,GT,1659308252.0
Anadyr,64.75,177.4833,57.7,62,0.0,8.95,RU,1659307995.0
Iranshahr,27.2025,60.6848,83.28,65,98.0,4.25,IR,1659308252.0
Ankazoabo,-22.2833,44.5167,65.91,77,9.0,5.61,MG,1659308252.0
Sandwick,60.0,-1.25,53.42,82,20.0,9.22,GB,1659308253.0
Mookane,-23.688,26.6595,62.19,21,76.0,6.22,BW,1659308253.0
Port-Gentil,-0.7193,8.7815,75.16,83,40.0,12.66,GA,1659308020.0
Kangaatsiaq,68.3065,-53.4641,42.22,91,45.0,6.35,GL,1659307817.0
Rengo,-34.4167,-70.8667,59.32,80,55.0,1.63,CL,1659308254.0
Ambilobe,-13.2,49.05,63.45,83,2.0,3.83,MG,1659307932.0
Barbate,36.1924,-5.9219,75.07,90,0.0,7.09,ES,1659308254.0
Tonj,7.2737,28.6822,70.2,97,100.0,4.16,SS,1659308255.0
Beringovskiy,63.05,179.3167,50.63,62,93.0,4.83,RU,1659308063.0
São Domingos do Maranhão,-5.5758,-44.3853,75.29,81,73.0,4.47,BR,1659308255.0
Rawson,-43.3002,-65.1023,48.0,71,98.0,7.85,AR,1659308047.0
Zaozyornoye,45.1582,33.2787,74.43,69,9.0,6.11,UA,1659308256.0
Tuatapere,-46.1333,167.6833,44.17,85,84.0,8.12,NZ,1659307999.0
Yangi Marg`ilon,40.4272,71.7189,77.72,36,100.0,6.91,UZ,1659307925.0
Nome,64.5011,-165.4064,59.16,88,100.0,9.22,US,1659307954.0
Broken Hill,-31.95,141.4333,46.8,68,0.0,6.73,AU,1659307941.0
Buraidah,26.326,43.975,88.25,49,100.0,15.28,SA,1659308257.0
Togur,58.3631,82.8265,54.95,65,100.0,12.37,RU,1659308257.0
Baghdad,33.3406,44.4009,85.91,26,0.0,2.3,IQ,1659308198.0
Moramanga,-18.9333,48.2,52.86,97,67.0,1.1,MG,1659308258.0
Port Maria,18.3685,-76.8895,90.05,85,13.0,9.28,JM,1659308258.0
Boyolangu,-8.1181,111.8935,69.58,91,82.0,0.69,ID,1659308038.0
Bosaso,11.2842,49.1816,89.71,42,74.0,24.18,SO,1659308258.0
Arlit,18.7369,7.3853,96.62,23,27.0,13.24,NE,1659307916.0
Dikson,73.5069,80.5464,40.87,94,100.0,14.58,RU,1659307639.0
Lochmaben,55.1301,-3.4429,52.05,90,66.0,4.32,GB,1659308259.0
Santarém,-2.4431,-54.7083,80.73,89,40.0,0.0,BR,1659308259.0
Kushmurun,52.4503,64.6311,62.06,87,15.0,6.44,KZ,1659308260.0
Khuchni,41.9499,47.9485,67.84,72,87.0,3.74,RU,1659308260.0
Jūrmala,56.968,23.7704,60.98,88,100.0,5.75,LV,1659308246.0
Kunya,12.2233,8.5325,78.42,68,91.0,10.51,NG,1659308261.0
Chara,56.9064,118.2631,65.12,65,53.0,1.77,RU,1659308261.0
Tambo,-14.8,-73.9167,39.27,37,1.0,5.08,PE,1659308262.0
Zalegoshch',52.9008,36.8869,59.45,64,70.0,7.38,RU,1659308262.0
Kungurtug,50.5994,97.5228,53.56,87,34.0,1.66,RU,1659308262.0
Mossamedes,-15.1961,12.1522,57.51,82,12.0,11.3,AO,1659307983.0
Shiyan,32.6475,110.7781,75.97,77,0.0,0.16,CN,1659308263.0
Lufilufi,-13.8745,-171.5986,83.98,80,66.0,20.29,WS,1659308263.0
Venustiano Carranza,19.43,-99.0992,72.14,40,100.0,20.71,MX,1659308264.0
Penzance,50.1186,-5.5371,63.28,90,42.0,7.61,GB,1659308264.0
Maryville,35.7565,-83.9705,82.54,89,100.0,13.8,US,1659308043.0
Dongning,44.0622,131.1207,73.71,98,100.0,1.7,CN,1659308265.0
Kaitangata,-46.2817,169.8464,41.95,77,7.0,7.31,NZ,1659307928.0
São Filipe,14.8961,-24.4956,75.79,75,42.0,5.64,CV,1659307644.0
Teya,60.3778,92.6267,53.13,91,100.0,4.61,RU,1659308265.0
Turkmenabat,39.0733,63.5786,80.58,32,0.0,6.91,TM,1659308266.0
Olden,61.8364,6.8064,56.14,97,98.0,6.26,NO,1659308266.0
Amahai,-3.3333,128.9167,77.54,87,69.0,2.64,ID,1659308266.0
Kavieng,-2.5744,150.7967,83.55,73,94.0,13.6,PG,1659307964.0
Salaga,8.5508,-0.5188,74.12,93,100.0,5.08,GH,1659308267.0
Maceió,-9.6658,-35.7353,76.44,88,20.0,6.91,BR,1659308267.0
Sabang,5.8933,95.3214,82.09,75,100.0,14.85,ID,1659308268.0
Kieta,-6.2167,155.6333,83.21,75,21.0,5.84,PG,1659308268.0
Nyaunglebin,17.95,96.7333,76.86,91,100.0,3.33,MM,1659308268.0
Kaeo,-35.1,173.7833,60.33,76,18.0,5.39,NZ,1659307741.0
Vao,-22.6667,167.4833,69.28,77,100.0,26.22,NC,1659308269.0
Marawi,7.9986,124.2928,71.2,87,97.0,2.21,PH,1659308054.0
Zima,53.9202,102.0442,61.18,90,60.0,2.89,RU,1659308269.0
Kununurra,-15.7667,128.7333,57.18,77,96.0,0.0,AU,1659308270.0
Hemnesberget,66.2333,13.6333,57.58,89,100.0,1.79,NO,1659308270.0
Quatre Cocos,-20.2078,57.7625,70.09,71,16.0,13.67,MU,1659308271.0
Lata,40.1629,-8.3327,69.69,61,0.0,2.3,PT,1659308271.0
Ailigandí,9.2333,-78.0167,80.98,86,100.0,6.98,PA,1659308272.0
Jacareacanga,-6.2222,-57.7528,81.66,58,92.0,2.64,BR,1659308272.0
Kavaratti,10.5669,72.642,80.44,80,100.0,23.89,IN,1659308272.0
Elizabeth City,36.2946,-76.2511,77.05,96,100.0,11.43,US,1659308246.0
Weihe,32.9952,105.3247,67.6,98,97.0,2.37,CN,1659308273.0
Ürümqi,43.801,87.6005,70.75,56,75.0,4.47,CN,1659308273.0
San Miguel de Tucumán,-26.8241,-65.2226,62.6,48,1.0,1.14,AR,1659308201.0
Bandarbeyla,9.4942,50.8122,76.05,80,58.0,28.32,SO,1659308274.0
Portsmouth,50.799,-1.0913,68.97,93,86.0,4.0,GB,1659308192.0
Nanchang,28.6833,115.8833,83.71,65,0.0,2.19,CN,1659308274.0
Zafra,38.4167,-6.4167,81.59,29,0.0,6.93,ES,1659308275.0
Kristinestad,62.2743,21.376,62.17,75,99.0,10.76,FI,1659308275.0
Patan,27.6667,85.3333,70.18,94,75.0,0.0,NP,1659308276.0
Faya,18.3851,42.4509,66.31,58,77.0,7.74,SA,1659307966.0
